,Bedrooms,Bathrooms,Furnishing,Tennants,Area,Price,Locality
733,2 BHK Builder Floor,1,Unfurnished,Bachelors/Family,950 sqft,"10,000", Sainikpuri 
734,3 BHK Apartment,1,Semi-Furnished,Family,2100 sqft,"18,000"," Hyder Shah Kote, Chevella Road "
735,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1350 sqft,"16,000"," Ramnagar Gundu, Adikmet, NH "
736,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1314 sqft,"34,000"," My Home Avatar, Narsingi, Outer Ring Road "
737,3 BHK Apartment,2,Unfurnished,Bachelors/Family,1600 sqft,"30,000"," Tanasha Nagar, Outer Ring Road "
738,3 BHK Apartment,Immediately,Furnished,Bachelors/Family,2000 sqft,"18,500", Bowenpally 
739,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1200 sqft,"20,000", SD Road 
740,3 BHK Apartment,2,Furnished,Bachelors/Family,1740 sqft,"15,000"," Dullapally, NH "
741,3 BHK Builder Floor,North - East,Semi-Furnished,Bachelors/Family,1800 sqft,"25,000"," Kukatpally, NH "
742,2 BHK Builder Floor,Immediately,Unfurnished,Bachelors/Family,900 sqft,"11,000", Vidyut Nagar 
743,2 BHK Builder Floor,East,Semi-Furnished,Bachelors/Family,130 sqyrd,"8,000", Aminpur 
744,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1182 sqft,"25,000", Chikkadpally 
745,2 BHK Builder Floor,2,Unfurnished,Family,875 sqft,"9,500", Meerpet 
746,1 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,read more,"25,000"," Banjara Hills, NH "
747,2 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,1300 sqft,"10,000", Attapur 
748,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1400 sqft,"13,000"," Tellapur, Outer Ring Road "
749,2 BHK Apartment,NaN,Bachelors/Family,2,1250 sqft,"27,000"," Gachibowli, Outer Ring Road "
750,3 BHK Builder Floor,East,Semi-Furnished,Family,1500 sqft,"15,000"," Vanasthalipuram, NH "
751,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,750 sqft,"10,000", Bandlaguda Jagir 
752,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,750 sqft,"10,000"," Hyder Shah Kote, Chevella Road "
753,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1685 sqft,"38,000"," Gachibowli, Outer Ring Road "
754,2 BHK Apartment,1,Furnished,Bachelors/Family,1000 sqft,"20,500"," Jalvayu Tower, Gandhi Nagar, Kavadiguda, NH "
755,2 BHK Apartment,2,Unfurnished,Bachelors/Family,1200 sqft,"14,000"," Chandanagar, NH "
756,2 BHK Builder Floor,1,Furnished,Bachelors/Family,100 sqyrd,"22,000"," Red Hills, Lakdikapul, NH "
757,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1500 sqft,"16,000", Nizampet 
758,3 BHK Apartment,East,Semi-Furnished,Bachelors/Family,1740 sqft,"38,000"," Financial District, Nanakram Guda "
759,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1500 sqft,"20,000", Brindavan Colony-Toli Chowki 
760,2 BHK Apartment,From Nov '19,Semi-Furnished,Bachelors/Family,1275 sqft,"30,000"," Raghavendra Colony, NH "
761,2 BHK Builder Floor,Immediately,Furnished,Bachelors/Family,950 sqft,"23,000"," Himayath Nagar, NH "
762,2 BHK Builder Floor,2,Semi-Furnished,Bachelors/Family,1150 sqft,"13,000", Nizampet 
763,2 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,1200 sqft,"25,000", Kondapur 
764,2 BHK Apartment,1,Furnished,Bachelors/Family,1000 sqft,"15,000", New Nallakunta 
765,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1200 sqft,"20,000", Brindavan Colony-Toli Chowki 
766,2 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,1200 sqft,"14,000", New Nallakunta 
767,3 BHK Apartment,2,Semi-Furnished,Bachelors,1600 sqft,"26,000"," Sanjeeva Reddy Nagar, NH "
768,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1600 sqft,"17,000"," Arvind Nagar Colony, Toli Chowki "
769,2 BHK Apartment,2,Unfurnished,Bachelors,read more,"15,000", Singapore
770,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1395 sqft,"15,000", Attapur 
771,2 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,1258 sqft,"18,000"," Kukatpally, NH "
772,1 BHK Builder Floor,Immediately,Unfurnished,Bachelors/Family,read more,"14,000", Kondapur
773,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1000 sqft,"13,000", Toli Chowki 
774,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1000 sqft,"15,000", Mehdipatnam 
775,2 BHK Penthouse,Immediately,Semi-Furnished,Bachelors/Family,200 sqft,"8,500", OU Colony 
776,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1500 sqft,"25,000"," Manikonda, Outer Ring Road "
777,2 BHK Apartment,2,Furnished,Family,1250 sqft,"16,500", Mitapur 
778,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1200 sqft,"15,500", Nizampet Road 
779,2 BHK Apartment,3,Unfurnished,Bachelors,1000 sqft,"9,000"," Safilguda, Secunderabad "
780,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1750 sqft,"19,500"," Hyder Nagar, NH "
781,																																								2 BHK Apartment																									            	,2,Furnished,Family,1050 sqft,"           	 			           	 			16,500           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							           							         	TulasinagarH.M.T hillsjntukphb 							          			        				  						         	         		    		 	           			 						 							 								 					             					            	
782,																																								3 BHK Builder Floor																									            	,							Immediately			            ,Unfurnished,Bachelors/Family,1500 sqft,"           	 			           	 			15,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Kanchan Bagh 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	
783,																																								3 BHK Apartment																									            	,3,Semi-Furnished,Bachelors,1600 sqft,"           	 			           	 			27,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Kukatpally, NH  "
784,																																								3 BHK Apartment																									            	,North,Furnished,Bachelors/Family,1800 sqft,"           	 			           	 			44,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Himayatnagar 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	
785,																																								2 BHK Apartment																									            	,East,Semi-Furnished,Family,1205 sqft,"           	 			           	 			22,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Narsingi, Outer Ring Road 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	"
786,																																								3 BHK Apartment																									            	,							Immediately			            ,Unfurnished,Bachelors/Family,1400 sqft,"           	 			           	 			18,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Asif Nagar 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	
787,																																								2 BHK Apartment																									            	,Garden/Park,Semi-Furnished,Family,1314 sqft,"           	 			           	 			30,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Narsingi, Outer Ring Road 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	"
788,																																																Studio Apartment																	            	,South,Unfurnished,Bachelors/Family,NaN,"           	 			           	 			20,000           	 		", 									
789,																																								2 BHK Apartment																									            	,1,Unfurnished,Family,1050 sqft,"           	 			           	 			6,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Sangareddy 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	
790,																																								3 BHK Service Apartment																									            	,							Immediately			            ,Unfurnished,Bachelors/Family,1350 ground,"           	 			           	 			20,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							           							         	Miyapur ground floor 							          			        				  						         	         		    		 	           			 						 							 								 					             					            	
791,																																								3 BHK Apartment																									            	,NaN,Bachelors/Family,2,1225 sqft,"           	 			           	 			15,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Fort View Colony 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	
792,																																								3 BHK Apartment																									            	,3,Semi-Furnished,Bachelors/Family,1860 sqft,"           	 			           	 			45,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Financial District, Nanakram Guda 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	"
793,																																								2 BHK Apartment																									            	,2,Semi-Furnished,Bachelors,1000 sqft,"           	 			           	 			9,000           	 		"," 									 								 				             				             			             				         			            	Sri Sai Varshith Residency,  			            	 	                	 	                		 					            							          							         	Beeramguda, Ramachandra Puram, NH  "
794,																																								2 BHK Apartment																									            	,3,Semi-Furnished,Bachelors/Family,1150 sqft,"           	 			           	 			19,500           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							           			        				  			        				 	Hyderabad 			        				  						         	         		    		 	           			 						 							 								 					             					            	
795,																																																Studio Apartment																	            	,Main Road,Unfurnished,Bachelors,NaN,"           	 			           	 			5,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Quthbullapur, NH "
796,																																								2 BHK Apartment																									            	,1,Unfurnished,Bachelors/Family,1000 sqft,"           	 			           	 			9,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							           							         	Poojitha enclave,Bachupally 							          			        				  						         	         		    		 	           			 						 							 								 					             					            	"
797,																																								3 BHK Apartment																									            	,2,Unfurnished,Bachelors/Family,1520 sqft,"           	 			           	 			25,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Hafeezpet, NH  "
798,																																								10 BHK Service Apartment																									            	,2,Unfurnished,Bachelors/Family,900 sqft,"           	 			           	 			10,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Kothapet 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	
799,																																								2 BHK Apartment																									            	,1,Unfurnished,Bachelors/Family,820 sqft,"           	 			           	 			10,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							           							         	Padmanagar Phase 
800,																																								3 BHK Apartment																									            	,							Immediately			            ,Furnished,Bachelors/Family,1500 sqft,"           	 			           	 			25,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Attapur 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	
801,																																								3 BHK Builder Floor																									            	,1,Unfurnished,Bachelors/Family,1550 sqft,"           	 			           	 			13,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Sainikpuri 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	
802,																																								3 BHK Apartment																									            	,1,Semi-Furnished,Bachelors/Family,1685 sqft,"           	 			           	 			37,500           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Gachibowli, Outer Ring Road 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	"
803,																																								2 BHK Builder Floor																									            	,							Immediately			            ,Semi-Furnished,Bachelors/Family,800 sqft,"           	 			           	 			20,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							           							         	Banjara Hills Road No 
804,																																								2 BHK Apartment																									            	,							Immediately			            ,Semi-Furnished,Bachelors/Family,1200 sqft,"           	 			           	 			20,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							           							         	Sahibabad 							          			        				  						         	         		    		 	           			 						 							 								 					             					            	
805,																																								3 BHK Apartment																									            	,1,Semi-Furnished,Bachelors/Family,1700 sqft,"           	 			           	 			18,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Madina Colony, Falaknuma 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	"
806,																																								2 BHK Apartment																									            	,1,Furnished,Bachelors/Family,1314 sqft,"           	 			           	 			29,000           	 		"," 									 								 				             				             			             				         			            	My Home Avatar,  			            	 	                	 	                		 					            							          							           							         	Puppalaguda,Narsingi,Gachibowli 							          			        				  						         	         		    		 	           			 						 							 								 					             					            	"
807,																																								3 BHK Builder Floor																									            	,South,Unfurnished,Bachelors/Family,1800 sqft,"           	 			           	 			20,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							           							         	Tolly Chowki 							          			        				  						         	         		    		 	           			 						 							 								 					             					            	
808,																																								2 BHK Builder Floor																									            	,							Immediately			            ,Semi-Furnished,Bachelors/Family,950 sqft,"           	 			           	 			16,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							           							         	Himayat Nagar 							          			        				  						         	         		    		 	           			 						 							 								 					             					            	
809,																																								2 BHK Builder Floor																									            	,North,Unfurnished,Family,1200 sqft,"           	 			           	 			13,500           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							           							         	Mehdipatanm Padmanabha Nagar 							          			        				  						         	         		    		 	           			 						 							 								 					             					            	
810,																																								2 BHK Apartment																									            	,2,Unfurnished,Bachelors/Family,1000 sqft,"           	 			           	 			11,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Moula Ali, Moula Ali Road 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	"
811,2 BHK Apartment,2,Unfurnished,Bachelors/Family,1000 sqft,"12,000"," Rajendra Nagar, Outer Ring Road "
812,3 BHK Builder Floor,Immediately,Furnished,Bachelors/Family,1400 sqft,"17,500", Bandlaguda 
813,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1080 sqft,"13,000", Bandam Kommu 
814,3 BHK Apartment,2,Semi-Furnished,Bachelors,East Facing Property,"35,000", Kondapur
815,2 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,1800 sqft,"10,000"," Beeramguda, Ramachandra Puram, NH "
816,2 BHK Apartment,NaN,Bachelors/Family,2,1312 sqft,"30,000"," Narsingi, Outer Ring Road "
817,3 BHK Apartment,1,Furnished,Bachelors/Family,1620 sqft,"22,000"," Deepthisri Nagar, NH "
818,2 BHK Apartment,1,Unfurnished,Bachelors/Family,975 sqft,"16,000", Tolly Chowki 
819,3 BHK Builder Floor,Immediately,Unfurnished,Bachelors/Family,1200 sqft,"15,000", Nallakunta 
820,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1520 sqft,"10,000"," Sai Homes, Peerzadiguda "
821,2 BHK Builder Floor,1,Furnished,Bachelors/Family,950 sqft,"18,500"," Chintal, NH "
822,3 BHK Apartment,North,Unfurnished,Bachelors/Family,1400 sqft,"15,000"," Defence Colony, Secunderabad "
823,2 BHK Builder Floor,3,Semi-Furnished,Bachelors/Family,1400 sqft,"22,000", Vinayak Nagar 
824,2 BHK Apartment,3,Furnished,Bachelors/Family,870 sqft,"15,000"," Moula Ali, Moula Ali Road "
825,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1450 sqft,"17,000", Friends Colony 
826,2 BHK Builder Floor,East,Semi-Furnished,Bachelors/Family,1200 sqft,"14,000", Toli Chowki 
827,2 BHK Builder Floor,Immediately,Unfurnished,Bachelors/Family,800 sqft,"8,500", Meerpet 
828,3 BHK Apartment,West,Semi-Furnished,Bachelors/Family,1870 sqft,"40,000"," Gachibowli, Outer Ring Road "
829,2 BHK Apartment,2,Furnished,Bachelors/Family,900 sqft,"30,000"," Mythri Nagar, Hafeezpet, NH "
830,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1145 sqft,"13,000"," Secunderabad, Rashtrapati ROAd "
831,3 BHK Apartment,3,Furnished,Bachelors/Family,1950 sqft,"50,000"," Banjara Hills, NH "
832,3 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,1200 sqft,"25,000"," Khairatabad, NH "
833,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1568 sqft,"25,000", Appa junction 
834,3 BHK Apartment,2,Furnished,Bachelors/Family,1800 sqft,"35,000"," Khairatabad, NH "
835,2 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,1000 sqft,"6,500", Karimnagar 
836,2 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,500 sqft,"8,000", rtc cross road 
837,1 BHK Apartment,Immediately,Furnished,Bachelors/Family,read more,"18,000", Gopanapalli
838,2 BHK Builder Floor,2,Semi-Furnished,Family,1045 sqft,"20,000", MIGH Colony-Mehdipatnam 
839,1 BHK Apartment,1,Unfurnished,Bachelors/Family,read more,"8,700", Santosh
840,2 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,1350 sqft,"15,000", Attapur 
841,3 BHK Apartment,From Nov '19,Semi-Furnished,Bachelors/Family,2560 sqft,"38,000", Kompally 
842,4 BHK Builder Floor,1,Unfurnished,Bachelors,3000 sqft,"40,000", 
843,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1800 sqft,"40,000"," Banjara Hills, NH "
844,3 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,2200 sqft,"30,000"," Manikonda, Outer Ring Road "
845,3 BHK Apartment,Immediately,Furnished,Bachelors/Family,1800 sqft,"37,000"," Gachibowli, Outer Ring Road "
846,2 BHK Apartment,2,Unfurnished,Bachelors,1350 sqft,"15,000"," LB Nagar, NH "
847,4 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,2400 sqft,"38,000"," Ameerpet, NH "
848,1 BHK Penthouse,From Nov '19,Semi-Furnished,Bachelors/Family,read more,"7,500"," Uppal, NH "
849,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1200 sqft,"12,000"," Uppal, NH "
850,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1370 sqft,"23,000"," Kokapet, Outer Ring Road "
851,3 BHK Apartment,2,Semi-Furnished,Bachelors,East Facing Property,"20,000", Manikonda
852,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1500 sqft,"18,000"," Alkapur Township, Manikonda, Outer Ring Road "
853,1 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,Near Oliv Mount School,"10,000", Nalanda Nagar
854,3 BHK Builder Floor,NaN,Bachelors/Family,3,1400 sqft,"16,000", New Nallakunta 
855,3 BHK Apartment,East,Furnished,Family,1280 sqft,"35,000"," CMC Enclave, Kondapur "
856,2 BHK Apartment,From Nov '19,Family,2,1200 sqft,"24,000", Kondapur 
857,2 BHK Apartment,1,Unfurnished,Bachelors/Family,read more,"14,500"," Aarambh Township, Chandanagar, NH "
858,1 BHK Builder Floor,North - East,Semi-Furnished,Bachelors/Family,read more,"9,000"," Punjagutta, NH "
859,2 BHK Apartment,East,Unfurnished,Bachelors,East Facing Property,"13,000", Nizampet
860,1 BHK Builder Floor,1,Unfurnished,Bachelors/Family,NaN,"7,000", Vidyanagar
861,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1750 sqft,"17,000"," Madinaguda, Hafeezpet, NH "
862,2 BHK Apartment,1,Semi-Furnished,Family,1000 sqft,"18,000"," Venkata Ramana Colony, Nagole "
863,3 BHK Apartment,2,Unfurnished,Bachelors,1980 sqft,"32,000", Kondapur 
864,1 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,"Near huda maitrivanam,ameerpet.","7,000"," Ameerpet, NH "
865,2 BHK Apartment,3,Semi-Furnished,Bachelors/Family,900 sqft,"16,500", Begumpet 
866,1 BHK Builder Floor,Immediately,Unfurnished,Bachelors/Family,read more,"6,500", Bachupally
867,1 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,read more,"7,500"," Beeramguda, Ramachandra Puram, NH "
868,2 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,1008 sqft,"10,000"," Upparpally, Hyderabad Expressway "
869,2 BHK Apartment,1,Furnished,Family,1200 sqft,"26,000"," Srinija Gayatri Hills, Gachibowli, Outer Ring Road "
870,3 BHK Apartment,1,Semi-Furnished,Bachelors,1350 sqft,"15,000", Nizampet 
871,2 BHK Apartment,East,Semi-Furnished,Bachelors/Family,1000 sqft,"11,000"," The Legend Vittalwadi, Narayanguda "
872,2 BHK Builder Floor,2,Furnished,Bachelors/Family,1200 sqft,"30,000"," P Janardhan Reddy Nagar, Gachibowli, Outer Ring Road "
873,2 BHK Apartment,3,Unfurnished,Bachelors,read more,"8,500", Meerpet
874,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1710 sqft,"30,000"," Saptagiri Colony, Kukatpally, NH "
875,2 BHK Builder Floor,1,Unfurnished,Bachelors,1000 sqft,"11,000"," LB Nagar, NH "
876,3 BHK Apartment,NaN,Bachelors/Family,2,1250 sqft,"23,000"," Kukatpally, NH "
877,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1314 sqft,"30,000"," My Home Avatar, Narsingi, Outer Ring Road "
878,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1050 sqft,"15,000", Masab Tank 
879,2 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,1200 sqft,"18,000", Nizampet 
880,2 BHK Apartment,1,Unfurnished,Bachelors,1200 sqft,"12,000"," Rajiv Gandhi Nagar Colony, Nizampet "
881,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1050 sqft,"14,000"," Gandhi Nagar, Kavadiguda, NH "
882,1 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,read more,"6,000", Lalaguda
883,2 BHK Apartment,2,Unfurnished,Bachelors,East Facing Property,"22,000"," Yousufguda, NH "
884,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1680 sqft,"21,000"," Narsingi, Outer Ring Road "
885,2 BHK Penthouse,1,Unfurnished,Bachelors/Family,135 sqyrd,"8,000", Hyderabad 
886,2 BHK Apartment,3,Semi-Furnished,Family,2000 sqft,"15,000"," LB Nagar, NH "
887,3 BHK Builder Floor,2,Furnished,Bachelors/Family,1900 sqft,"25,000"," Punjagutta, NH "
888,2 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,1000 sqft,"10,000", Syed Nagar 
889,2 BHK Apartment,3,Unfurnished,Bachelors/Family,1300 sqft,"15,000", Hyderaguda-Attapur 
890,2 BHK Apartment,2,Unfurnished,Bachelors/Family,1160 sqft,"12,000", Gajularamara 
891,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1500 sqft,"26,000", Sri Nagar Colony 
892,2 BHK Apartment,2,Unfurnished,Bachelors,1250 sqft,"7,000", Ramakrishnapuram-Neredmet 
893,2 BHK Builder Floor,2,Semi-Furnished,Bachelors/Family,1250 sqft,"22,000"," Srinija Gayatri Hills, Gachibowli, Outer Ring Road "
894,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1160 sqft,"12,000"," Dilsukh Nagar, NH "
895,2 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,1100 sqft,"9,000", Alwal 
896,2 BHK Apartment,2,Semi-Furnished,Family,960 sqft,"9,000"," Sri Vasavi Siva Nagar Colony, Secunderabad "
897,2 BHK Apartment,1,Unfurnished,Bachelors/Family,900 sqft,"5,000", Maruthi Nagar 
898,3 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,1650 sqft,"19,500", Attapur 
899,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,2000 sqft,"15,000", ECIL 
900,2 BHK Apartment,1,Semi-Furnished,Family,1400 sqft,"25,000"," Manikonda, Outer Ring Road "
901,3 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,1400 sqft,"20,000"," Kukatpally, NH "
902,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,890 sqft,"8,500", Chanda Nagar 
903,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1525 sqft,"7,500", Gajularamaram 
904,3 BHK Apartment,Immediately,Furnished,Bachelors/Family,2894 sqft,"50,000"," P Janardhan Reddy Nagar, Gachibowli, Outer Ring Road "
905,2 BHK Apartment,1,Furnished,Bachelors/Family,1314 sqft,"34,000", Nanakram Guda 
906,2 BHK Apartment,From Nov '19,Semi-Furnished,Bachelors/Family,1141 sqft,"23,000", Kondapur 
907,2 BHK Builder Floor,1,Unfurnished,Bachelors/Family,850 sqft,"8,500"," Murad Nagar, Lal Darwaza, Falaknuma Road "
908,2 BHK Apartment,2,Unfurnished,Bachelors,East Facing Property,"15,000", Attapur
909,2 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,1050 sqft,"12,000", Teja Colony 
910,1 BHK Apartment,2,Unfurnished,Bachelors/Family,read more,"8,000", Bhagya Nagar Colony
911,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,read more,"15,000", Pragathi Nagar
912,3 BHK Apartment,1,Unfurnished,Bachelors/Family,read more,"21,000"," Kukatpally, NH "
913,2 BHK Apartment,2,Semi-Furnished,Family,1400 sqft,"19,000", Suchitra Circle 
914,2 BHK Apartment,Same Premise,Semi-Furnished,Family,1115 sqft,"15,000", Hyderabad 
915,1 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,NaN,"22,000"," Qader Ali Apartment, Malakpet, NH "
916,1 BHK Builder Floor,East,Semi-Furnished,Bachelors,NaN,"15,000", Sri Ramnagar - Block C
917,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,read more,"20,000"," Madhura Nagar, NH "
918,3 BHK Apartment,2,Semi-Furnished,Bachelors,1600 sqft,"27,000"," Aparna CyberZon, Nallagandla, Serilingampally "
919,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,2500 sqft,"38,000", Hyderguda 
920,3 BHK Apartment,1,Semi-Furnished,Bachelors,East Facing Property,"30,000", Rainbow Vistas Rock Gardens
921,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1600 sqft,"35,000"," Patrika Nagar, Hitech City "
922,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1150 sqft,"13,500"," Akshay Homes, Nagole "
923,2 BHK Builder Floor,2,Unfurnished,Bachelors/Family,1120 sqft,"15,000"," Moosarambagh, NH "
924,3 BHK Builder Floor,2,Unfurnished,Bachelors/Family,1458 sqft,"10,000"," Hayathnagar, NH "
925,2 BHK Apartment,2,Unfurnished,Bachelors,1230 sqft,"15,000"," Giridhari Murari, Appa junction "
926,1 BHK Apartment,1,Unfurnished,Bachelors,"Near silver oaks school, Krcr colony road number 1","9,500", Bachupally
927,2 BHK Apartment,2,Unfurnished,Bachelors,1080 sqft,"12,000", Dr A.S. Rao Nagar 
928,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,3000 sqft,"49,000"," Mount Meru, Banjara Hills, NH "
929,2 BHK Builder Floor,South,Semi-Furnished,Bachelors/Family,980 sqft,"14,000"," Durgabai Deshmukh Colony, Amberpet "
930,3 BHK Apartment,East,Semi-Furnished,Bachelors/Family,1350 sqft,"20,000", Shaikpet 
931,3 BHK Apartment,1,Semi-Furnished,Family,1436 sqft,"23,000"," Shanta Sriram Sonata, New Nallakunta "
932,3 BHK Apartment,2,Semi-Furnished,Bachelors,1510 sqft,"15,000"," ARK Homes, Bolarum, Medchal Road "
933,3 BHK Builder Floor,2,Semi-Furnished,Family,1800 sqft,"23,000"," Hyder Nagar, NH "
934,3 BHK Apartment,West,Semi-Furnished,Family,2400 sqft,"22,000", Osman Nagar 
935,3 BHK Apartment,3,Unfurnished,Bachelors,2000 sqft,"40,000", Begumpet 
936,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,1440 sqft,"22,000"," Old Malakpet, NH "
937,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1340 sqft,"16,500", Aminpur 
938,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,950 sqft,"15,000"," Gulshan Colony, Qutub Shahi Tombs "
939,3 BHK Apartment,North,Semi-Furnished,Family,2600 sqft,"35,000"," Stonehenge, Appa junction "
940,1 BHK Apartment,1,Unfurnished,Bachelors/Family,East Facing Property,"12,500", Toli
